!method	chdir
!cutoff	500
!direction	down
ARHGDIB	-0.02503
SRI	-0.025
LRRC32	-0.02498
HAPLN1	-0.02498
SH3RF2	-0.02497
FAM213A	-0.02483
BCLAF1	-0.0248
NR0B1	-0.02467
NDFIP2	-0.02466
SLC7A2	-0.02431
TMEM2	-0.0242
EMILIN2	-0.02412
ALDH1A2	-0.02407
TMEM100	-0.02405
RGS2	-0.02376
FZD4	-0.02373
NELFCD	-0.02354
KIFAP3	-0.02351
RHOBTB3	-0.02345
SRI	-0.02344
PHLDA1	-0.02325
CDK6	-0.02324
HSPH1	-0.02323
SLC47A1	-0.02315
RGS5	-0.02305
BAMBI	-0.02303
LAMA1	-0.02301
MT1H	-0.02276
MMP11	-0.02272
PTN	-0.02251
EZH2	-0.0223
HMGCS1	-0.02217
LIME1	-0.02207
VPS41	-0.02198
DSC2	-0.02197
HAS2	-0.02196
CD82	-0.02185
TACC1	-0.02178
BAALC	-0.02178
MPC1	-0.02176
CNKSR3	-0.02169
POPDC2	-0.02147
RGS5	-0.02146
LIMA1	-0.02146
SLC35F1	-0.02145
GPR128	-0.02141
SPON1	-0.02141
FNDC5	-0.0214
MDK	-0.02123
KCNN2	-0.02122
SH3KBP1	-0.02122
DIO2	-0.02114
COL8A1	-0.02112
AFAP1L2	-0.02108
SH3KBP1	-0.021
DOK4	-0.02095
TPM1	-0.02078
GOLGA8B	-0.02054
PGA5	-0.02053
LCP1	-0.02052
FRZB	-0.02052
CAP2	-0.02042
POLA1	-0.02036
UNC13B	-0.02031
SLC40A1	-0.02018
GLTP	-0.02015
MMP16	-0.02015
NNAT	-0.0201
RRP15	-0.02005
CYTH2	-0.02003
TP53I3	-0.02
CYCS	-0.01996
TPM1	-0.01991
COX20	-0.01988
PLOD2	-0.01985
PTPN13	-0.0198
TUBB6	-0.01976
HEY1	-0.0197
FAM118A	-0.01968
LYSMD2	-0.01967
CSRP2	-0.01967
FUT8	-0.01964
REC8	-0.01961
ZDHHC11	-0.01961
DKK1	-0.01954
RPS23	-0.01945
MYH10	-0.01939
AP1S2	-0.01925
SAFB2	-0.01921
NELL2	-0.01915
SNF8	-0.01906
CCDC109B	-0.01906
SIPA1L2	-0.01905
CHIC2	-0.01905
PI4KA	-0.01904
BCLAF1	-0.019
DDX46	-0.01883
GNG2	-0.01878
TGFBI	-0.01878
BMP5	-0.0187
MPC2	-0.01868
FRAS1	-0.01854
NKX3-2	-0.01852
GOLIM4	-0.0185
C15orf39	-0.01847
DIP2B	-0.01842
IGFBP3	-0.01842
LPPR4	-0.01841
PGA3	-0.0184
KCNAB1	-0.01831
SRRT	-0.01829
SNAPC4	-0.01828
ZMPSTE24	-0.01826
TENM4	-0.01825
SRSF6	-0.01824
ST7	-0.01818
LRP1B	-0.01818
ARHGAP44	-0.01816
PDLIM7	-0.01812
PAPOLA	-0.01808
DENND5B	-0.01808
DDX5	-0.01806
TOPBP1	-0.01801
FNBP4	-0.01801
SRPK1	-0.01796
ANTXR2	-0.01792
COLEC11	-0.01785
CA12	-0.01781
CRELD2	-0.01773
UBE2J1	-0.01771
CCDC14	-0.01769
DYNLL1	-0.01769
ARGLU1	-0.01755
ZDHHC6	-0.01751
AP1S2	-0.01748
BMP7	-0.01741
NXPH2	-0.01739
AKR1C2	-0.01735
PARM1	-0.01734
ANGPTL2	-0.0173
CD52	-0.01726
SNORA61	-0.01721
DNAJC9	-0.01716
MME	-0.01712
RBM45	-0.01711
NXPH2	-0.01707
RAB11FIP3	-0.01699
