!method	ttest
!cutoff	500
!direction	down
MIR519B	-0.9907
RNF32	-0.9902
TRIM15	-0.99
TUBGCP3	-0.99
SIGMAR1	-0.9895
TES	-0.9894
PHF11	-0.9891
FAM98C	-0.989
NMNAT2	-0.989
MIR374B	-0.9888
SCARNA21	-0.9888
SNORA76C	-0.9884
ZMYND19	-0.9881
MRPL39	-0.988
SPINK9	-0.988
C20orf27	-0.9879
NRG3	-0.9877
MRPL38	-0.9874
CLLU1	-0.9873
LAT2	-0.9873
PPP1R9B	-0.9872
ZNF462	-0.9872
TMEM89	-0.9871
LAYN	-0.9871
ACTR5	-0.9871
MIR1178	-0.987
FOXD4L5	-0.987
ALDH1L1	-0.987
DMP1	-0.9869
POLI	-0.9868
THSD1	-0.9865
SPATA31A7	-0.9865
NPFFR1	-0.9863
PNMAL2	-0.9863
DPP6	-0.9862
MIRLET7D	-0.986
SNORD107	-0.9859
MCAT	-0.9858
ARHGAP30	-0.9856
SORCS1	-0.9856
LINC00999	-0.9856
USP17L5	-0.9855
KATNA1	-0.9852
PAK7	-0.9851
SUPT20H	-0.9851
MDH1B	-0.985
MSL2	-0.9849
ACSBG2	-0.9847
C11orf95	-0.9844
VENTXP7	-0.9844
PDE5A	-0.9841
SSX2IP	-0.9841
DIS3	-0.984
PTRF	-0.9839
PPAP2B	-0.9835
MAGEA2	-0.9835
ALLC	-0.9834
ZNF827	-0.9833
IRF3	-0.9832
ELMOD3	-0.9831
CELA1	-0.983
FTH1P3	-0.9829
GREM2	-0.9828
CNN2	-0.9828
CCDC83	-0.9826
IL25	-0.9825
INSL4	-0.9825
MRPS14	-0.9823
TMEM74B	-0.9823
POLR2G	-0.9823
GNB1	-0.9821
ANP32AP1	-0.982
BTBD18	-0.9819
OR3A2	-0.9818
MFSD9	-0.9818
GART	-0.9818
DHX40	-0.9818
FOXP2	-0.9818
MIR224	-0.9817
DYNC1I1	-0.9817
SOX8	-0.9817
INTS10	-0.9816
MIR32	-0.9815
HEPACAM	-0.9815
ALG11	-0.9814
SNORD92	-0.9811
RPP14	-0.9809
OR5M1	-0.9809
OSCP1	-0.9809
TMEM236	-0.9807
DMTN	-0.9807
AHI1	-0.9807
QPCT	-0.9804
DNAL1	-0.9804
CXorf21	-0.9804
ANGPT4	-0.9802
OR51B5	-0.9801
PRC1	-0.98
TAS2R30	-0.9798
CXorf49B	-0.9797
LBX2	-0.9797
AKR7A2P1	-0.9797
RELB	-0.9796
SPOP	-0.9795
CHFR	-0.9794
CCAR2	-0.9793
PPP1R3D	-0.9792
SLC39A9	-0.9792
MCTP1	-0.979
ACVR1C	-0.9787
C20orf196	-0.9784
DOK2	-0.9784
TBC1D9B	-0.9783
CRTC1	-0.9782
NEURL1B	-0.9782
TTTY18	-0.978
S100A14	-0.9779
NLGN4Y	-0.9778
RPAP1	-0.9777
DMD	-0.9777
HBA2	-0.9772
UBA7	-0.9771
FRG2	-0.9768
SUMF2	-0.9768
ITGB8	-0.9767
DGCR6L	-0.9766
CBX8	-0.976
CT47A7	-0.976
RASGEF1A	-0.976
MRPS35	-0.9759
TRIM48	-0.9759
ARID3B	-0.9759
KIF22	-0.9758
FMO5	-0.9758
MIR656	-0.9754
TTBK1	-0.9752
CEP55	-0.9748
SLX1A	-0.9747
MAPK8IP3	-0.9747
CHDH	-0.9745
GNA14	-0.9742
MIR924	-0.9741
TMEM27	-0.9741
ZFAND4	-0.974
USP22	-0.974
WNT7A	-0.9739
MIR15A	-0.9738
CES1	-0.9736
C12orf65	-0.9736
RPL23AP64	-0.9735
PAK2	-0.9734
KIAA1549L	-0.973
HSPB2	-0.9729
PRR15	-0.9729
EMD	-0.9725
GRIN3A	-0.9725
MIR92B	-0.9725
STAT5B	-0.9725
LRRC47	-0.9725
U2SURP	-0.9724
MIRLET7I	-0.9723
PRAP1	-0.9723
DHDDS	-0.9722
PKN2	-0.9722
