!method	chdir
!cutoff	None
!direction	up
PPARG	0.0172654
GRWD1	0.0171159
CXCL2	0.0170699
PIK3CA	0.0169742
LAP3	0.0168599
GHR	0.0168224
OXA1L	0.0168134
FZD1	0.0166891
KCTD5	0.016283
UGDH	0.0161155
SSBP2	0.0159506
NCK2	0.015944
RASA1	0.0157894
HEBP1	0.0157352
KAT6B	0.0156231
GNAI2	0.0156105
IDE	0.0155366
EPHA3	0.0155143
SUPV3L1	0.0154973
LOXL1	0.0153701
SQRDL	0.0153259
PTPN6	0.0152931
KIF14	0.015262
CTNNAL1	0.0152161
CPSF4	0.015032
MAP3K4	0.0149369
RBM34	0.0146631
EML3	0.014596
GFOD1	0.0145062
ETS1	0.0141816
CBR1	0.014135
BAMBI	0.0140199
BMP4	0.013979
TES	0.0139509
MYBL2	0.0139399
C2CD2	0.013863
HEATR1	0.0137944
SCCPDH	0.0134728
RAB31	0.0133521
ASAH1	0.0132369
VAT1	0.01322
GATA2	0.0131975
PMAIP1	0.0131539
HLA-DMA	0.0131383
KDM5B	0.0130726
PEX11A	0.0130658
TMEM97	0.013028
GOLT1B	0.0130168
PIN1	0.0129201
DAXX	0.0128837
AKAP8	0.0127275
INPP1	0.0127045
KAT6A	0.0126761
GNA11	0.012583
BPHL	0.0124263
TOR1A	0.0123885
REEP5	0.0123687
ERBB3	0.0121442
POLR2K	0.0119129
LYRM1	0.0118618
ATF1	0.0117805
PSMB8	0.0117773
MAT2A	0.0117457
ATP6V1D	0.0117391
UBR7	0.0116856
MNAT1	0.0116812
MLEC	0.0115494
CCND1	0.0115174
HIF1A	0.0113607
CYTH1	0.0112402
KLHL21	0.0109883
HDGFRP3	0.0109635
HTRA1	0.01089
SACM1L	0.0108673
E2F2	0.0108371
PHF15	0.0107901
GLI2	0.0106283
CNDP2	0.010616
RRP8	0.0105603
EBP	0.010514
SLC37A4	0.0104708
MAP4K4	0.0103219
MTF2	0.0102636
WDR7	0.0102612
AARS	0.010225
ABCB6	0.010225
EPRS	0.0102135
MIF	0.0101948
TLK2	0.0101326
MYL9	0.0100724
PARP1	0.0100215
TPM1	0.0099436
UBE3B	0.00992676
EVL	0.00983171
UFM1	0.00980078
CDC45	0.00977857
PTPRK	0.00970994
ZNF451	0.00970728
C2CD2L	0.00970033
CHMP6	0.00964831
CCDC90A	0.00958899
BRCA1	0.00956362
TBPL1	0.00940214
IKZF1	0.0092981
CD97	0.00922811
KLHDC2	0.00918991
CEBPZ	0.00913339
TOMM34	0.00912951
DHX29	0.00910245
ARID4B	0.0090167
PRPF4	0.00895808
IL13RA1	0.00889181
CHMP4A	0.008755
LSM6	0.00871731
SLC25A46	0.0085539
CGRRF1	0.00852026
KIT	0.00848833
NFE2L2	0.0084789
MCOLN1	0.00844753
NOTCH1	0.00838201
CSK	0.00835442
FAM57A	0.00834234
TBP	0.00831623
NARFL	0.00830755
MOK	0.00830704
NOS3	0.00822865
WFS1	0.0082042
PNKP	0.00817714
SMARCD2	0.00801071
BLMH	0.00800154
YKT6	0.00794351
HMGCS1	0.00792652
COG2	0.00781449
FUT1	0.00775499
INPP4B	0.00774204
STXBP1	0.00772281
UBE3C	0.00761451
SOX4	0.00759735
CHERP	0.00748503
PIK3R4	0.00741255
HN1L	0.00732039
SPTLC2	0.00727654
KIAA0100	0.00722207
ZNF395	0.00718046
IL1B	0.00711984
ATG3	0.00711073
CCND3	0.00710581
GFPT1	0.00702386
CD320	0.0069066
CCNB2	0.00681987
PPP2R3C	0.00679633
VAPB	0.00673336
SLC25A14	0.006732
LPGAT1	0.00670676
HYOU1	0.00665449
ARHGAP1	0.00663541
ERBB2	0.00660167
ATMIN	0.00658348
NUP85	0.00654385
PYCR1	0.00652869
XPNPEP1	0.00648198
SMARCA4	0.00643386
ARID5B	0.00640087
COL4A1	0.0063402
AKT1	0.00629206
FRS2	0.00626453
EZH2	0.00623083
CDCA4	0.00617799
MYCBP2	0.00613276
FOXO3	0.00612257
RPS6	0.00604961
WRB	0.00601292
GALE	0.00594389
ARHGEF2	0.00588859
CLTB	0.00587797
AGL	0.00583764
TERF2IP	0.00575404
FAM69A	0.00574549
GTPBP8	0.00573098
CD44	0.00568143
PSIP1	0.00563074
RAB4A	0.00553804
CANT1	0.00541542
POLE2	0.0053458
PRCP	0.00531244
ZNF131	0.00526418
HSD17B11	0.00523842
PWP1	0.00515615
EAPP	0.00507624
RNPS1	0.00503066
PCM1	0.00502503
PLCB3	0.00498737
CDK5R1	0.00491251
NCAPD2	0.00483598
AURKA	0.00478497
ACLY	0.00474837
PDIA5	0.00474804
FGFR2	0.00469854
POLD4	0.00466845
DNAJC15	0.00466657
PAK6	0.00461513
STAT3	0.00459267
MEF2C	0.00448463
TP53BP2	0.00448154
RPS6KA1	0.00442383
CLTC	0.00432699
SGCB	0.00429173
MKNK1	0.00424434
SCAND1	0.00422484
RFX5	0.0042209
NET1	0.00420195
MYO10	0.00415019
IARS2	0.0041486
ARFIP2	0.00410414
DUSP14	0.00407901
USP6NL	0.00391534
TSPAN3	0.00391486
LSM5	0.00388232
PSMG1	0.0038611
KTN1	0.00385264
TRIM13	0.00382904
PAX8	0.00380151
SUV39H1	0.00375756
KIAA1033	0.00372472
PXN	0.00372151
KIF2C	0.00365763
PGRMC1	0.00360771
ETFB	0.00348355
PLA2G15	0.00343029
MCM3	0.00342083
ST7	0.00334418
ENOSF1	0.00334365
CCDC85B	0.00329849
ISOC1	0.00329571
IGF2BP2	0.00328723
CHIC2	0.00316765
LRP10	0.00305113
YME1L1	0.00304596
PRUNE	0.00299352
B3GNT1	0.00297371
HAT1	0.00296722
CDK7	0.00295114
ABHD4	0.00292655
PAK4	0.00290831
BRP44	0.00287892
XBP1	0.00284725
EPB41L2	0.00282863
TM9SF2	0.00282839
LPAR2	0.00282653
DUSP6	0.00273139
SERPINE1	0.00270165
SCARB1	0.00255183
AMDHD2	0.00249251
CASP3	0.00249084
CDC42	0.0024485
CASK	0.00243455
ZW10	0.00240867
TLR4	0.00237037
ADRB2	0.00235102
WDR61	0.00234974
LGALS8	0.00231747
BUB1B	0.00231719
TMCO1	0.0022432
NFIL3	0.00223073
CAST	0.00222926
MYLK	0.00211811
PLOD3	0.00210235
CLIC4	0.00194543
NISCH	0.00193394
FBXO11	0.00188308
CEP57	0.00187159
RHEB	0.00183809
KDM5A	0.00179306
TEX10	0.00168274
EBNA1BP2	0.00167157
ATP6V0B	0.00165328
ASCC3	0.00161844
ACD	0.00157488
ICAM3	0.00154462
LAGE3	0.00153276
TCFL5	0.0015311
ANO10	0.00150012
CCL2	0.00147246
MAMLD1	0.00144644
PSMD2	0.00139304
KDELR2	0.00134487
GTF2A2	0.00132226
MELK	0.00131923
RPN1	0.00130754
GPR56	0.00130424
BNIP3L	0.00129942
ABHD6	0.00117672
SIRT3	0.00112741
KIAA0528	0.00110566
SPP1	0.00104965
RUVBL1	0.00104106
GATA3	0.000956152
CTSD	0.000895764
GAPDH	0.000883016
KIF5C	0.000861471
NPC1	0.000840529
FPGS	0.000783421
NUP93	0.000769291
GPATCH8	0.000754536
SPAG4	0.000747908
PSME2	0.000745164
UBE2L6	0.000742653
RNH1	0.000734655
LRRC41	0.000731377
ZNF318	0.000639548
ELAC2	0.000599664
MBNL1	0.000576617
TIMM9	0.000525758
CBR3	0.000497559
CFLAR	0.000494795
SLC11A2	0.00049052
KIAA0355	0.000488182
IGFBP3	0.000465566
NFKBIE	0.000451578
GPC1	0.000371098
NNT	0.000363965
NRAS	0.000352181
DUSP22	0.000281701
SH3BP5	0.000281661
PAK1	0.000250296
BAD	0.00022919
IGF2R	0.000166848
GAA	0.000141463
ECD	0.000123741
PTPN12	0.000100249
